Time (s),Amplitude
0.000000,0.000000
0.000045,0.000000
0.000091,0.000000
0.000136,0.000000
0.000181,0.000092
0.000227,0.000092
0.000272,-0.000183
0.000317,-0.000732
0.000363,-0.000763
0.000408,-0.000122
0.000454,0.000366
0.000499,0.000610
0.000544,0.000641
0.000590,-0.000153
0.000635,-0.001099
0.000680,-0.000977
0.000726,-0.000305
0.000771,0.000275
0.000816,0.000977
0.000862,0.001160
0.000907,0.000244
0.000952,-0.000702
0.000998,-0.000702
0.001043,-0.000244
0.001088,0.000031
0.001134,0.000183
0.001179,0.000488
0.001224,0.000458
0.001270,-0.000580
0.001315,-0.001831
0.001361,-0.001862
0.001406,-0.000458
0.001451,0.001373
0.001497,0.002167
0.001542,0.001373
0.001587,-0.000122
0.001633,-0.001068
0.001678,-0.001251
0.001723,-0.000671
0.001769,0.000488
0.001814,0.001373
0.001859,0.001221
0.001905,0.000275
0.001950,-0.000641
0.001995,-0.001099
0.002041,-0.000946
0.002086,0.000092
0.002132,0.001434
0.002177,0.001709
0.002222,0.000763
0.002268,-0.000488
0.002313,-0.001404
0.002358,-0.001312
0.002404,-0.000275
0.002449,0.000427
0.002494,0.000458
0.002540,0.000366
0.002585,-0.000031
0.002630,-0.000427
0.002676,0.000031
0.002721,0.000397
0.002766,-0.000366
0.002812,-0.000854
0.002857,-0.000458
0.002902,-0.000092
0.002948,0.000214
0.002993,0.000580
0.003039,0.000488
0.003084,0.000000
0.003129,-0.000244
0.003175,-0.000275
0.003220,-0.000214
0.003265,0.000153
0.003311,0.000458
0.003356,0.000244
0.003401,-0.000031
0.003447,0.000183
0.003492,0.000397
0.003537,0.000305
0.003583,0.000000
0.003628,-0.000122
0.003673,0.000214
0.003719,0.000366
0.003764,-0.000275
0.003810,-0.000885
0.003855,-0.000732
0.003900,-0.000244
0.003946,0.000610
0.003991,0.001587
0.004036,0.001312
0.004082,0.000031
0.004127,-0.000824
0.004172,-0.001099
0.004218,-0.000732
0.004263,0.000397
0.004308,0.001648
0.004354,0.001801
0.004399,0.000580
0.004444,-0.000763
0.004490,-0.001007
0.004535,-0.000275
0.004580,0.000000
0.004626,-0.000336
0.004671,-0.000244
0.004717,0.000183
0.004762,-0.000214
0.004807,-0.000977
0.004853,-0.000732
0.004898,-0.000122
0.004943,0.000031
0.004989,0.000000
0.005034,0.000031
0.005079,0.000000
0.005125,-0.000153
0.005170,-0.000336
0.005215,-0.000092
0.005261,-0.000092
0.005306,-0.000977
0.005351,-0.001099
0.005397,-0.000214
0.005442,-0.000092
0.005488,-0.000610
0.005533,-0.000458
0.005578,0.000000
0.005624,-0.000244
0.005669,-0.000671
0.005714,-0.000519
0.005760,0.000153
0.005805,0.000427
0.005850,0.000092
0.005896,-0.000031
0.005941,0.000000
0.005986,-0.000427
0.006032,-0.000702
0.006077,-0.000122
0.006122,0.000671
0.006168,0.000824
0.006213,0.000397
0.006259,-0.000061
0.006304,-0.000122
0.006349,0.000122
0.006395,0.000092
0.006440,-0.000122
0.006485,-0.000214
0.006531,-0.000153
0.006576,0.000000
0.006621,-0.000153
0.006667,-0.000702
0.006712,-0.000641
0.006757,0.000092
0.006803,0.000061
0.006848,-0.000488
0.006893,-0.000214
0.006939,-0.000092
0.006984,-0.001129
0.007029,-0.001526
0.007075,-0.000244
0.007120,0.000275
0.007166,-0.000732
0.007211,-0.000732
0.007256,0.000092
0.007302,0.000122
0.007347,0.000275
0.007392,0.000427
0.007438,-0.000549
0.007483,-0.001068
0.007528,-0.000214
0.007574,0.000092
0.007619,-0.000732
0.007664,-0.001617
0.007710,-0.001465
0.007755,0.000275
0.007800,0.002136
0.007846,0.001709
0.007891,0.000214
0.007937,0.000244
0.007982,0.001007
0.008027,0.000732
0.008073,0.000092
0.008118,-0.000244
0.008163,-0.000824
0.008209,-0.001007
0.008254,0.000153
0.008299,0.001099
0.008345,0.000610
0.008390,0.000000
0.008435,0.000092
0.008481,0.000153
0.008526,0.000061
0.008571,0.000031
0.008617,-0.000275
0.008662,-0.000732
0.008707,-0.000610
0.008753,0.000031
0.008798,0.000214
0.008844,-0.000183
0.008889,-0.000244
0.008934,0.000214
0.008980,0.000641
0.009025,0.000671
0.009070,0.000183
0.009116,-0.000397
0.009161,-0.000793
0.009206,-0.000854
0.009252,0.000061
0.009297,0.001434
0.009342,0.001801
0.009388,0.000946
0.009433,-0.000671
0.009478,-0.002228
0.009524,-0.002380
0.009569,-0.000641
0.009615,0.001099
0.009660,0.001068
0.009705,0.000122
0.009751,0.000000
0.009796,0.000366
0.009841,0.000427
0.009887,0.000214
0.009932,-0.000153
0.009977,-0.000610
0.010023,-0.000610
0.010068,-0.000153
0.010113,0.000214
0.010159,0.000305
0.010204,0.000336
0.010249,0.000000
0.010295,-0.000305
0.010340,-0.000214
0.010385,-0.000275
0.010431,0.000366
0.010476,0.002014
0.010522,0.002289
0.010567,0.000549
0.010612,-0.000488
0.010658,-0.000458
0.010703,-0.000671
0.010748,-0.000031
0.010794,0.001831
0.010839,0.002289
0.010884,0.000946
0.010930,-0.000336
0.010975,-0.001251
0.011020,-0.001465
0.011066,-0.000458
0.011111,0.000580
0.011156,0.001190
0.011202,0.001282
0.011247,0.000092
0.011293,-0.001343
0.011338,-0.001343
0.011383,-0.000580
0.011429,0.000275
0.011474,0.001465
0.011519,0.001984
0.011565,0.000732
0.011610,-0.000854
0.011655,-0.000702
0.011701,0.000397
0.011746,0.000092
0.011791,-0.001007
0.011837,-0.000732
0.011882,-0.000031
0.011927,0.000000
0.011973,0.000580
0.012018,0.001160
0.012063,0.000397
0.012109,-0.000153
0.012154,0.000397
0.012200,0.000427
0.012245,0.000000
0.012290,0.000488
0.012336,0.001160
0.012381,0.000824
0.012426,-0.000305
0.012472,-0.001648
0.012517,-0.002106
0.012562,-0.000854
0.012608,0.000885
0.012653,0.001404
0.012698,0.000824
0.012744,0.000092
0.012789,-0.000946
0.012834,-0.001801
0.012880,-0.001221
0.012925,0.000275
0.012971,0.000916
0.013016,0.000793
0.013061,0.000397
0.013107,-0.000549
0.013152,-0.001404
0.013197,-0.001129
0.013243,-0.000092
0.013288,0.000031
0.013333,-0.000671
0.013379,-0.000610
0.013424,0.000092
0.013469,0.000061
0.013515,0.000031
0.013560,0.000244
0.013605,-0.000580
0.013651,-0.001740
0.013696,-0.001404
0.013741,-0.000214
0.013787,0.000946
0.013832,0.001617
0.013878,0.000916
0.013923,-0.000061
0.013968,0.000336
0.014014,0.000671
0.014059,0.000122
0.014104,0.000153
0.014150,0.000671
0.014195,0.000549
0.014240,0.000122
0.014286,-0.000763
0.014331,-0.001801
0.014376,-0.001373
0.014422,0.000214
0.014467,0.001465
0.014512,0.001770
0.014558,0.000854
0.014603,-0.000641
0.014649,-0.001007
0.014694,-0.000488
0.014739,-0.000122
0.014785,0.000763
0.014830,0.001678
0.014875,0.001038
0.014921,-0.000092
0.014966,-0.000488
0.015011,-0.000885
0.015057,-0.000641
0.015102,0.000519
0.015147,0.000854
0.015193,0.000336
0.015238,0.000061
0.015283,-0.000366
0.015329,-0.000671
0.015374,-0.000275
0.015420,0.000000
0.015465,-0.000092
0.015510,-0.000366
0.015556,-0.000488
0.015601,0.000641
0.015646,0.002228
0.015692,0.002075
0.015737,0.000458
0.015782,-0.001099
0.015828,-0.002197
0.015873,-0.001923
0.015918,0.000153
0.015964,0.002472
0.016009,0.003448
0.016054,0.002014
0.016100,-0.001343
0.016145,-0.003479
0.016190,-0.002563
0.016236,-0.000519
0.016281,0.001099
0.016327,0.002197
0.016372,0.001770
0.016417,-0.000061
0.016463,-0.001312
0.016508,-0.001434
0.016553,-0.000824
0.016599,0.000519
0.016644,0.001556
0.016689,0.001495
0.016735,0.000458
0.016780,-0.001038
0.016825,-0.001862
0.016871,-0.001190
0.016916,0.000000
0.016961,0.000854
0.017007,0.001068
0.017052,0.000336
0.017098,0.000092
0.017143,0.001068
0.017188,0.001373
0.017234,0.000366
0.017279,-0.000458
0.017324,-0.000854
0.017370,-0.000946
0.017415,-0.000031
0.017460,0.000916
0.017506,0.000580
0.017551,0.000092
0.017596,-0.000092
0.017642,-0.000702
0.017687,-0.000763
0.017732,-0.000092
0.017778,-0.000061
0.017823,0.000183
0.017868,0.000793
0.017914,0.000061
0.017959,-0.001251
0.018005,-0.001648
0.018050,-0.001068
0.018095,0.000519
0.018141,0.001740
0.018186,0.001099
0.018231,0.000122
0.018277,0.000031
0.018322,-0.000031
0.018367,-0.000275
0.018413,-0.000031
0.018458,0.000092
0.018503,-0.000122
0.018549,0.000000
0.018594,-0.000092
0.018639,-0.000580
0.018685,-0.000641
0.018730,-0.000244
0.018776,0.000397
0.018821,0.000549
0.018866,-0.000305
0.018912,-0.000122
0.018957,0.001434
0.019002,0.001282
0.019048,-0.000061
0.019093,0.000214
0.019138,0.001007
0.019184,0.000549
0.019229,0.000031
0.019274,0.000000
0.019320,-0.000031
0.019365,0.000122
0.019410,0.000031
0.019456,-0.000397
0.019501,-0.000305
0.019546,0.000000
0.019592,-0.000031
0.019637,0.000122
0.019683,0.000244
0.019728,-0.000031
0.019773,0.000336
0.019819,0.001251
0.019864,0.001038
0.019909,0.000061
0.019955,0.000092
0.020000,0.000397
0.020045,0.000000
0.020091,0.000092
0.020136,0.000610
0.020181,0.000458
0.020227,0.000122
0.020272,-0.000244
0.020317,-0.000977
0.020363,-0.000977
0.020408,-0.000122
0.020454,0.000214
0.020499,0.000183
0.020544,0.000183
0.020590,-0.000031
0.020635,0.000092
0.020680,0.000092
0.020726,-0.000214
0.020771,0.000580
0.020816,0.001740
0.020862,0.001465
0.020907,0.000244
0.020952,-0.001160
0.020998,-0.002350
0.021043,-0.001740
0.021088,0.000275
0.021134,0.001587
0.021179,0.001648
0.021224,0.000824
0.021270,-0.000793
0.021315,-0.001923
0.021361,-0.001648
0.021406,-0.000305
0.021451,0.000916
0.021497,0.001312
0.021542,0.000946
0.021587,-0.000153
0.021633,-0.001343
0.021678,-0.001251
0.021723,-0.000305
0.021769,0.000183
0.021814,0.000977
0.021859,0.001587
0.021905,0.000427
0.021950,-0.001221
0.021995,-0.001984
0.022041,-0.001862
0.022086,0.000275
0.022132,0.003326
0.022177,0.003723
0.022222,0.001587
0.022268,-0.001129
0.022313,-0.003143
0.022358,-0.002625
0.022404,-0.000397
0.022449,0.000244
0.022494,-0.000275
0.022540,-0.000092
0.022585,0.000000
0.022630,0.000031
0.022676,0.000549
0.022721,0.000580
0.022766,-0.000519
0.022812,-0.001953
0.022857,-0.002533
0.022902,-0.000854
0.022948,0.002197
0.022993,0.003510
0.023039,0.002289
0.023084,-0.000122
0.023129,-0.003510
0.023175,-0.005859
0.023220,-0.003387
0.023265,0.001831
0.023311,0.004395
0.023356,0.003845
0.023401,0.001312
0.023447,-0.003601
0.023492,-0.007111
0.023537,-0.005219
0.023583,0.000122
0.023628,0.005463
0.023673,0.007751
0.023719,0.004395
0.023764,-0.002350
0.023810,-0.007172
0.023855,-0.007263
0.023900,-0.002380
0.023946,0.004791
0.023991,0.008362
0.024036,0.005920
0.024082,0.000031
0.024127,-0.005920
0.024172,-0.008026
0.024218,-0.004181
0.024263,0.001740
0.024308,0.004974
0.024354,0.004883
0.024399,0.001709
0.024444,-0.003052
0.024490,-0.005005
0.024535,-0.002960
0.024580,-0.000061
0.024626,0.002014
0.024671,0.002655
0.024717,0.001312
0.024762,-0.000366
0.024807,-0.000580
0.024853,0.000000
0.024898,0.000214
0.024943,-0.000732
0.024989,-0.002350
0.025034,-0.002472
0.025079,-0.000153
0.025125,0.002777
0.025170,0.004364
0.025215,0.003052
0.025261,-0.001373
0.025306,-0.005554
0.025351,-0.005585
0.025397,-0.001923
0.025442,0.002808
0.025488,0.006104
0.025533,0.005463
